## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-08-10T21:18:46.937Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Society. 2024. Saanich Inlet Sill Oxygen Sensor Deployed 2024-02-21. Ocean Networks Canada Society. https://doi.org/10.34943/48359540-9ab1-4428-9f84-51f85e919010. Subset Query: 31842770. Accessed 2025-08-10."  / Citation Title
#METADATF:  SaanichInlet_SaanichInletSill_OxygenSensor_20240322T000000Z_20240430T233000Z-NaN_clean_avg15minute_CSV_META.xml  / Metadata file name
#SEARCHID:  52124169                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-SaanichInlet-SaanichInletSill  / Station Name 
#STNCODE:   SILL                                 / Station Code 
#LATITUDE:     48.688233                         / Latitude North
#LONGITUDE:  -123.500367                         / Longitude East
#DEPTH:        88.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Oxygen Sensor                           / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2024-03-22T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SBE 63 Dissolved Oxygen Sensor 631533"  / Device Name of Device 1
#DEVCODE1:  SBE63631533                          / Device Code of Device 1
#DEVID1:    24121                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2024-03-22T00:00:00.000Z             / Data Start Time
#DATETO:    2024-04-30T23:30:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2023-12-13T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   5100                                 / Sensor Sample Period 1 (s)
#RESAMPPRD: 900                                  / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 678                                  / Samples in File
#TOTSMPEXP: 3838                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Oxygen Concentration Corrected (ml/l)", "Oxygen Concentration Corrected QC Flag", "Oxygen Concentration Corrected Count", "Oxygen Concentration Uncorrected (ml/l)", "Oxygen Concentration Uncorrected QC Flag", "Oxygen Concentration Uncorrected Count", "Temperature (C)", "Temperature QC Flag", "Temperature Count"
## END HEADER
2024-03-22T00:07:30.000Z, 0.882438149, 7, 1, 1.02109531, 7, 1, 9.370890793, 7, 1
2024-03-22T00:22:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T00:37:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T00:52:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T01:07:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T01:22:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T01:37:30.000Z, 0.783828462, 7, 1, 0.906289869, 7, 1, 9.404406997, 7, 1
2024-03-22T01:52:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T02:07:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T02:22:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T02:37:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T02:52:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T03:07:30.000Z, 1.083650069, 7, 1, 1.255429422, 7, 1, 9.304305812, 7, 1
2024-03-22T03:22:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T03:37:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T03:52:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T04:07:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T04:22:30.000Z, 3.058115497, 7, 1, 3.5508289, 7, 1, 8.823300012, 7, 1
2024-03-22T04:37:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T04:52:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T05:07:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T05:22:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T05:37:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T05:52:30.000Z, 2.868000344, 7, 1, 3.331098346, 7, 1, 8.9402238, 7, 1
2024-03-22T06:07:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T06:22:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T06:37:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T06:52:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T07:07:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T07:22:30.000Z, 3.862354882, 7, 1, 4.484380011, 7, 1, 8.646217557, 7, 1
2024-03-22T07:37:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T07:52:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T08:07:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T08:22:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T08:37:30.000Z, 4.07781168, 7, 1, 4.734313485, 7, 1, 8.60153096, 7, 1
2024-03-22T08:52:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T09:07:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T09:22:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T09:37:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T09:52:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T10:07:30.000Z, 1.48607307, 7, 1, 1.725151214, 7, 1, 9.357419344, 7, 1
2024-03-22T10:22:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T10:37:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T10:52:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T11:07:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T11:22:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T11:37:30.000Z, 0.452415738, 7, 1, 0.520170545, 7, 1, 9.530343131, 7, 1
2024-03-22T11:52:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
2024-03-22T12:07:30.000Z, NaN, 9, 0, NaN, 9, 0, NaN, 9, 0
